Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
highest-gpa,10,278,256,321,21.19,0.000%,8.53971,2.33,1.07,279.0
TOTAL,10,278,256,321,21.19,0.000%,8.53971,2.33,1.07,279.0
