Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
all-student-name,10,4628,4176,5019,274.36,0.000%,1.96580,600.22,0.26,312661.0
TOTAL,10,4628,4176,5019,274.36,0.000%,1.96580,600.22,0.26,312661.0
